"Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name","Segment","Country","City","State","Postal Code","Region","Product ID","Category","Sub-Category","Product Name","Sales","Quantity","Discount","Profit"
"CA-2020-124499","2020-10-08","2020-10-12","Standard Class","FM-14380","Fred McMath","Consumer","United States","Detroit","Michigan","48227.0","Central","FUR-CH-10000513","Furniture","Chairs","High-Back Leather Manager's Chair","389.97","3.0","0.0","35.0973"
"CA-2020-162761","2020-10-08","2020-10-12","Standard Class","SC-20575","Sonia Cooley","Consumer","United States","Miami","Florida","33178.0","South","OFF-BI-10002498","Office Supplies","Binders","Clear Mylar Reinforcing Strips","11.214","2.0","0.7","-8.5974"
"CA-2020-124107","2020-10-08","2020-10-11","Second Class","BM-11650","Brian Moss","Corporate","United States","Ann Arbor","Michigan","48104.0","Central","TEC-PH-10003875","Technology","Phones","KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7","29.16","3.0","0.0","8.4564"
"CA-2020-162761","2020-10-08","2020-10-12","Standard Class","SC-20575","Sonia Cooley","Consumer","United States","Miami","Florida","33178.0","South","OFF-BI-10000145","Office Supplies","Binders","Zipper Ring Binder Pockets","1.872","2.0","0.7","-1.3104"
"CA-2020-141040","2020-10-08","2020-10-12","Second Class","TB-21250","Tim Brockman","Consumer","United States","New York City","New York","10024.0","East","TEC-PH-10001835","Technology","Phones","Jawbone JAMBOX Wireless Bluetooth Speaker","631.96","4.0","0.0","303.3408"
"CA-2020-124107","2020-10-08","2020-10-11","Second Class","BM-11650","Brian Moss","Corporate","United States","Ann Arbor","Michigan","48104.0","Central","TEC-AC-10002049","Technology","Accessories","Logitech G19 Programmable Gaming Keyboard","619.95","5.0","0.0","111.591"
"CA-2020-162761","2020-10-08","2020-10-12","Standard Class","SC-20575","Sonia Cooley","Consumer","United States","Miami","Florida","33178.0","South","OFF-AR-10001761","Office Supplies","Art","Avery Hi-Liter Smear-Safe Highlighters","37.376","8.0","0.2","7.4752"
"CA-2020-141040","2020-10-08","2020-10-12","Second Class","TB-21250","Tim Brockman","Consumer","United States","New York City","New York","10024.0","East","OFF-PA-10002245","Office Supplies","Paper","Xerox 1895","23.92","4.0","0.0","10.764"
"CA-2020-124107","2020-10-08","2020-10-11","Second Class","BM-11650","Brian Moss","Corporate","United States","Ann Arbor","Michigan","48104.0","Central","OFF-EN-10003286","Office Supplies","Envelopes","Staple envelope","57.96","7.0","0.0","27.2412"
"CA-2020-124107","2020-10-08","2020-10-11","Second Class","BM-11650","Brian Moss","Corporate","United States","Ann Arbor","Michigan","48104.0","Central","OFF-AP-10003971","Office Supplies","Appliances","Belkin 6 Outlet Metallic Surge Strip","29.403","3.0","0.1","5.2272"
"CA-2020-129098","2020-10-08","2020-10-12","Standard Class","DK-13090","Dave Kipp","Consumer","United States","Springfield","Virginia","22153.0","South","OFF-ST-10001321","Office Supplies","Storage","Decoflex Hanging Personal Folder File, Blue","30.84","2.0","0.0","8.3268"
